,Title,Release Date,Description,MetaScore,User Score
10,Portal,10-Oct-07,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",90,9.2
11,Portal 2,18-Apr-11,"Portal 2 is inarguably the hallmark game of this generation. It reminds players of how games should be played and develelopers of how games should be made. A sequel to the 2007 critically acclaimed Portal, Portal 2 still manages to top its predecessor in almost every aspect: from level designing, gameplay mechanics to the more wow-able factors of the series: story and characters. Portal 2 is a great break from the mass of games today that concentrates too much on players' characterization and multiple gameplay oriented endings. Portal 2 is pre-scripted, yet the game not at once failed to awe its audience: an eerily beautiful and mystifying journey that twists and turns here and there, keeping everyone on their heels for what's to come. Portal 2 is a must-have for all who believe in the bright future of gaming, for all who would enjoy a beautiful cinematic movie or a richly written book.",95,9.1
12,Return of the Obra Dinn,18-Oct-18,"The art style of this game is amazing. People don't understand how much work went into this game.  The story is great along with the puzzle mechanics of this game. Some of them get really hard at the end. To me, this game is worth 20 dollars.  I spent more on not so feature-rich games at $60+. I strongly recommend this game if you like murder mysteries with a puzzle element.",89,8.4
13,RISK: Global Domination,19-Feb-20,"The digital of the board game. Good overall. Maybe a few more features can be added, for example, when allies finish the game together, both are counted as wins.",No Score,6.3
14,Slime Rancher,1-Aug-17,"It's very cute, family friendly and a nice game that can be played comfortably even on an old Imac at default settings or at high level, plus I live in Turkey, I can play even though the economy is bad, finally get the game on discount like me or you will regret the game is 31 liras in Turkey but in the USA Even if you live in and buy games with dollars, I think you should wait for the discountæ",81,8
15,Team Fortress 2,10-Oct-07,"Team Fortress 2 (TF2) is the sequel to the game that put class-based, multiplayer team warfare on the map. TF2 delivers new gametypes, a signature art style powered by Valve’s next generation animation technology, persistent player statistics, and more. Unlike other ""class-based"" games that offer a variety of combat classes only, Team Fortress 2 packs a wild variety of classes which provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills. Play as the flame-throwing Pyro, the room clearing Heavy, or the Spy, a master of disguises. Other classes include: Scout, Sniper, Medic, Engineer, Demoman, or Soldier. TF2 features the most advanced graphics of any Source-based game released to date – and the most exciting class-based action ever created. [Valve]",92,9
16,Titanfall 2,28-Oct-16,"In single player, Titanfall 2 delivers a crafted experience that explores the unique bond between man and machine. Playable offline, the single player campaign in Titanfall 2 lets fans step out onto The Frontier as a Militia rifleman with aspirations of becoming an elite Pilot. Stranded behind enemy lines and facing overwhelming odds, players must team up with a veteran Titan to uphold a mission they were never meant to carry out. In multiplayer, Respawn is continuing to evolve their gameplay to provide a more robust experience that delivers expanded depth and variety that includes six new Titans, deeper Pilot abilities, more customization options, and a robust progression system that is sure to satisfy fans. [Electronic Arts]",86,8.4
17,Warface,21-Oct-13,"I think its a great time killer! I have 750+ hrs in this game. Give this game a try and i promise u will like it.Thats my review. Im writing this sentence because i have to write at least 150 character!",62,4.2
18,Warframe,25-Mar-13,"They were called Tenno. Warriors of blade and gun: masters of the Warframe armor. Those that survived the old war were left drifting among the ruins. Now they are needed once more. The Grineer, with their vast armies, are spreading throughout the solar system. A call echoes across the stars summoning the Tenno to an ancient place. They summon you. Allow the Lotus to guide you. She has rescued you from your cryostasis chamber and given you a chance to survive. The Grineer will find you; you must be prepared. The Lotus will teach you the ways of the Warframes and the secrets to unlocking their powers. Come Tenno, you must join the war.",69,8.3
19,Absolute Drift,29-Jul-15,"A great minimalist drift racer. Has enough variety with different types of events: downhills, trick levels, time attacks. The controls are satisfying when you learn them. It takes some time to get used to, but when you do - it's a blast!",66,5.7
20,ABZU,2-Aug-16,This game reminds me a lot like Journey. It's one of those one day games you can just immerse yourself into and the gameplay is just so casual and amazing. It's most defiantly a game worth playing. If you want a game that pulls you into the experience this is most defiantly the game for you.,83,7.1
21,AER: Memories of Old,25-Oct-17,"Well, what can I say... (played this game before on epic) An amazing game with amazing indie visuals, great cutsceneless storyline that will keep everyone satisfied, great mechanix, character designs, great soundtrack... i could keep on forever. The only bad thing is its a bit incomplete and the ending is weird, but thats pretty much it! There's not a game i would recommend more and I honestly think that if the game would be 60$ it would be still worth buying.I could go about this game forever, but you should see for yourself. ---{Graphics}---☐ You forget what reality is☑ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS ---{Gameplay}---☑ Very good☐ Good☐ It‘s just gameplay☐ Mehh☐ Watch a tree grow instead☐ Just don't ---{Audio}---☑ Eargasm☐Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf ---{Audience}---☐ Kids☐ Teens☐ Adults☑ All ---{PC Requirements}---☐ Check if you can run Tetris☐ Potato☑ Decent☐ Fast☐ Rich boi☐ Ask NASA if they have a spare computer ---{Difficulity}---☐ Just press 'W'☐ Easy☑ Significant brain usage☐ Easy to learn / Hard to master☐ Difficult☐ Dark Souls ---{Grind}---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☑ Isnt necessary to progress
☐ Average grind level
☐ Too much grind
☐ You‘ll need a second live for grinding

---{Story}---
☐ No Story
☐ Some lore
☐ Average
☐ Good
☑ Lovely
☐ It‘ll replace your life

---{Game Time}---
☐ Long enough for a cup of coffee
☑ Short
☐ Average
☐ Long
☐ To infinity and beyond

---{Price}---
☐ It’s free!
☑ Deserves more
☐ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ Donate the money to children in Africa

---{Bugs}---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{?/10}---
☐1
☐2
☐3
☐4
☐5
☐6
☐7
☐8
☐9
☑10",69,6.5
22,Alan Wake,16-Feb-12,"Alan Wake is a psychological action thriller, a unique new take in the world of gaming. The game is set in an idyllic all-American small town and its surroundings in the state of Washington. Alan Wake, the game's protagonist, is a bestselling horror writer, who writes a novel about his darkest nightmares. In the game, those nightmares come true. As with Remedy's previous games, story and atmosphere are fundamental elements. The game features a massive, open world for the players to explore. The game design is mission based with the player as the driving force behing the action, and as with their previous games, Remedy again focuses completely on delivering the best possible single player experience. The use of light is a significant gameplay element. Remedy has developed proprietary new technology to support the gameplay of the title and to push the high definition visuals to the next level. [Remedy]",83,8
23,Alien: Isolation,6-Oct-14,"Alien: Isolation is a first-person survival horror game which captures the fear and tension evoked by Ridley Scott’s 1979 classic film. Players find themselves in an atmosphere of constant dread and mortal danger as an unpredictable, ruthless Xenomorph is stalking and killing deep in the shadows. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive.",81,8.5
24,Amnesia: The Dark Descent,8-Sep-10,"The last remaining memories fade away into darkness. Your mind is a mess and only a feeling of being hunted remains. You must escape. Awake... Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.",85,8.6
25,Among the Sleep,29-May-14,"Among The Sleep invites you into the mind and body of a two year old child. After being put to bed one evening, mysterious things start to happen. Played in first person, the game lets its players immerse themselves in a child's limitless imagination. This is a perspective we all have a distant familiarity with, but few can clearly remember what it felt like. In the borderland between dream and reality, surreal creatures and diverse environments will present you with both physical and mental obstacles that challenge your creativity.",66,7.4
26,Among Us,16-Nov-18,"I absolutely adore this game. If you .play this game with 9 other friends on Discord it's the best experience you can have playing a game. It's better than Uno, monopoly and Mario Party",85,6.9
27,Ape Out,28-Feb-19,Great one to let some steam out! Makes violence look beautiful and the way jazz music is implemented into gameplay lets you satisfyingly smash and kill people in rhythm and with great style. Go wild.,83,6.7
28,ARK: Survival Evolved,29-Aug-17,"A game to try at least once. It has its rough edges, but it's gotten so much better than back when it was first rated. Really fun to play with friends or in single-player. Super challenging pvp servers for those who are into that. Grindy pve for those who are into that. And, a surplus of other options in the unofficial servers. Awesome game!",70,6.4
29,Aven Colony,25-Jul-17,"Aven Colony puts you in charge of humanity's first extrasolar settlement on Aven Prime, an alien planet of deserts, tundras, and jungles light years from earth. Build the infrastructure, look after the well-being of your citizens, manage your resources, and guide your colony to prosperity -- all while dealing with the harsh and often dangerous realities of an alien world. Features: * Build: Take charge of humanity's first extrasolar settlement on a new alien world. Build and expand your small colonies into massive, sprawling cities. * Discover: Deploy your crack team of pioneers to take on alien lifeforms and unlock the secrets of Aven Prime, as you tackle the campaign and sandbox modes. * Survive: Prepare for harsh winters, electrical storms and much more in this cruel and often dangerous new environment.",65,8.2
30,Bad North: Jotunn Edition,16-Nov-18,"An enjoyable strategy game with charming graphics, interaction and atmosphere. The gameplay is simple in the beginning but poses a challenge after a while. It is fairly short but definitely worth the price!",No Score,7.8
31,Batman: Arkham Asylum,15-Sep-09,"In Batman: Arkham Asylum, the player assumes the role of Batman as he delivers The Joker to Arkham Asylum. There, the imprisoned super-villains have set a trap and an immersive combat gaming experience unfolds. With an original script penned by Emmy Award-winning Batman writer Paul Dini, the game brings the universe of DC Comics' detective to life with stunning graphics. Batman: Arkham Asylum offers players the chance to battle Gotham's worst villains with Batman's physical and psychological strength in a graphically distinct and story-driven game. [Eidos Interactive]",91,8.6
32,Batman: Arkham City,21-Nov-11,"I can't believe people voting this a 0, but I guess there are haters everywhere. Yes the game was a month late, yes DX11 features will slow down your game, when it should, in fact, speed it up, yes there is SecuRom, and yes its on GWFL. However, none of that really matters, a month later? Who fricking cares, yes I had some of it spoiled, but I should have kept away from the batman forums to be sure. Still the story keeps me intrigued, the combat is insanely good, and the atmosphere is amazing. Can't do much about GFWL and SecuRom, they don't make the game worse, they are just bad choiced to safeguard against people playing without paying. The DX11 thing is something that they already are aware of, and they will fix it. So, if your that angered by it, wait before you buy it, or if you already bought it, don't play until the patch is out. Until that patch there are lots of goodies to play meanwhile, like Skyrim and Battlefield 3.As stated earlier this games combat is awesome, and works even better on mouse and keyboard than its predecessor. I have had no troubles whatsoever, and the troubles I did have came from me not being used to the combat system, not because it was bad.The graphics are gorgeous beyond belief, even in DX9 it looks good, I can also run at almost max with max PhysX on my GTX460, only thing I have turned down is AA at 16x .The sound is awesome, including the voice acting, The Joker is especially, like last game, really good. But most all of the voice acting done here is awesome.I can't find any fault with this game other than the DX11 problem, and that will be fixed, so a solid 10/10 and this game leaves me wondering what will be GOTY. To me it is between this, battlefield 3 (the MP is sooooo solid), The Witcher 2 and Skyrim. All are 9 or 10 out of 10 in my book.",91,8.7
33,Batman: Arkham Knight,23-Jun-15,"Batman confronts the ultimate threat against the city he has been sworn to protect. The Scarecrow returns to congeal an imposing array of super villains, including The Penguin, Two-Face and Harley Quinn, to summarily destroy The Dark Knight. The game introduces Rocksteady's uniquely-designed imagining of the Batmobile drivable for the first time in the franchise. Batman: Arkham Knight offers gamers a complete Batman experience as they rip through the streets and soar across the skyline of the iconic Gotham City.",70,3.7
34,Blair Witch,30-Aug-19,"Your darkest fears will awaken in these woods.It's 1996. A young boy disappears in the Black Hills Forest near Burkittsville, Maryland. As Ellis, a former police officer with a troubled past, you join the search. What starts as an ordinary investigation soon turns into an endless nightmare as you confront your fears and the Blair Witch, a mysterious force that haunts the woods Blair Witch is a first-person, story-driven psychological horror game based on the cinematic lore of Blair Witch.A STORY OF THE HUMAN DESCENT INTO DARKNESSFrom the creative minds behind the critically acclaimed Layers of Fear, experience first-hand the toll that fear can take on the mind in an original story inspired by the cinematic lore of Blair Witch.FIND THE WAY THROUGH THE HAUNTED WOODSWith just your loyal dog Bullet by your side, navigate your way through a cursed forest that warps and distorts both time and space.YOUR SANITY AGAINST HER CURSEStand against the horrors of the Blair Witch and the decaying sanity of a man burdened by his past.HOW WILL YOU FACE YOUR FEARS?As you delve deeper into the woods, how you react to danger and behave under pressure will ultimately teach you more about yourself.",69,6.3
35,Borderlands 2,17-Sep-12,"Borderlands 2 advances the distinct blending of FPS and role-playing genres to create an evolution of the Role Playing Shooter. Team up with up to 3 other players for 4-player online goodness or go old-school with 2-player split-screen couch sharing mayhem as you spend hours leveling up your character and equipping them with one of the millions of badass weapons. Borderlands 2 features a new array of procedurally generated guns, shields, grenades, artifacts, enemies and more. Choose one of the 4 new character classes to be taken through a carefully crafted and connected story to all new and surprising environments across the living planet of Pandora. Make new friends, arm them to the teeth and fight alongside them on your relentless quest for revenge and redemption.",89,8.2
36,Borderlands: The Pre-Sequel,13-Oct-14,"finally Borderlands The Pre-Sequel coming out :D i dont know whats the wrong with reviews but This game is a game of the year for me +Middle Earth Shadow of Mordor",75,6.4
37,Carcassonne: Tiles & Tactics,29-Nov-17,"Make your kingdom come alive with meeples, tiles and tactics!The best-selling tile-based game is now available on Nintendo Switch!Draw and place your tiles to build your medieval city. Cities, roads, monasteries and fields will help you enlarge your landscape, where you can place your followers, the meeples. Knights, robbers or farmers... Each meeple will help you control your territory and win points.But be careful, you'll need your wits and tactics to optimize your points! Place your tiles and meeples wisely to stop your opponents and win the game!Simple gameplay and easily accessible tactics mean fun for the whole family.Challenge up to 6 players! Relive all the fun of the board game experience on your Nintendo Switch in tv or Tabletop mode.Play against the computer or face off against your friends at home using pass and play.Choose the 3D landscape or try out the aerial view to refine your strategy.Two expansions included! Discover brand-new tiles and meeples in the two expansions included in the game, The River and The Abbot. Use them to embellish your city and enrich your gameplay with new rules and more ways to earn points.",No Score,7
38,Cave Story Plus,22-Nov-11,"Arguably the most well-known indie game of all time, Cave Story features a completely original storyline wrapped with personality, mystery and hours of fast-paced fun. Cave Story is an action-adventure game from the critically acclaimed independent designer, Daisuke Amaya--or Pixel to his fans. Overflowing with unmatched charm and character, Cave Story takes you into a rare world where a curious race of innocent rabbit-like creatures, called Mimigas, run free. You wake up in a dark cave with no memory of who you are, where you came from or why you're in such a place. Uncovering Mimiga Village you discover that the once-carefree Mimigas are in danger at the hands of a maniacal scientist. The Mimigas only hope rest squarely on the shoulders of a quiet, amnesiac boy who can't remember his own name. Run, jump, shoot, fly and explore your way through a massive action-adventure reminiscent of classic 8- and 16-bit games. Take control and learn the origins of this worlds power, stop the delusional villain and save the Mimiga!",83,8.3
39,Celeste,25-Jan-18,"This game is outstanding. One of the best games I've played to date. First off, the visuals and music are so polished and beautiful. I just want every screen of this game as my background (the backgrounds are incredibly detailed and help make the game feel very polished) and I could listen to this music for hours. I mean, each level has it's own death transition! That should give you a taste of how much love the developers put into this game. The dialogue is incredibly charming and tells a story about complicated feelings so elegantly and with so much honesty (I mean, you can feel it through the dialogue). The gameplay is incredibly fluid and its difficulty curve is perfect (However, I am a platformer afficiando, so take that with a grain of salt). I mean, seriously. Just jumping around and dashing in an empty space feels amazing, and there are so many collectibles to find using these amazing controls! You can choose to play on assist mode, or complete the game 100% and have an outstanding time no matter what. This game simply gets everything right: from skippable cutscenes to counters that help see what you missed in a level. The B-sides are just as fun as the main story and there's secrets hiding in every corner. No secret makes you want to use a walkthrough; they are well-hidden, but also well telegraphed with fun little mini-challenges in them. There are so many cool, inventive mechanics to come across while traversing through in this game... and the level design... Oh, the level design! It's absolutely perfect. This game is incredible and a great start if you want to start playing hardcore platformers.",88,8.3
40,Cities: Skylines,10-Mar-15,"Developed by Colossal Order, Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city’s policy by incorporating taxation into districts. All this plus the ability to mod the game to suit your play style.",85,8.8
41,City of Brass,4-May-18,"Become a daring thief in City of Brass, a punishing first-person rogue-lite filled with treasure, traps and ghoulish foes. Armed with scimitar and a versatile whip, you’ll lash and slash, bait and trap your way to the heart of an opulent, Arabian Nights-themed metropolis – or face certain death as time runs out.",69,3.9
42,Conarium,6-Jun-17,"Conarium is a chilling Lovecraftian game, which follows a gripping story involving four scientists and their endeavor to challenge what we normally consider to be the ‘absolute’ limits of nature. Inspired by H.P. Lovecraft’s novella ""At the Mountains of Madness"", but largely set after the original story.",71,6.3
43,Control,27-Aug-19,"After a secretive agency in New York is invaded by an otherworldly threat, you become the new Director struggling to regain Control. This supernatural third-person action-adventure game will challenge you to master a combination of supernatural abilities, modifiable loadouts and reactive environments, while fighting through a deep and unpredictable world.",85,7.2
44,Crashlands,21-Jan-16,"Absolutely engrossed in this thing every time I boot it up (on mobile or PC). The music and the vibe of the exploration, and just general interactions within the game, make for an amazing combination that just makes you feel good for even looking at the game in action. Big fan of the art style, as well. Overall -- I'm not very interested in crafting games, but this was so much more than that. It's an exploration adventure game, with a humorous narrative, action-RPG systems, and a penchant for making me smile the whole time that I'm playing. Heavy recommendation on both mobile and PC. Well worth your time and money.",78,7.7
45,Creature in the Well,6-Sep-19,Its a super simple short pinball hack n slash kinda thing adventure. I liked the mild progression with the help of items. Imo it was just the right length and didnt overstay its welcome.,82,5.5
46,Crying Suns,18-Sep-19,This is a wonderful game a spiritual successor to the mtl formula with a new layer of squadron based combat. Crying suns has a deep and moody story that I fell in love with instantly. I  recommend this game to anyone who like FL or skirmish style combat.,75,7.7
47,Dandara,6-Feb-18,"In a bizarre universe in which the oppressed are on the verge of oblivion, Dandara has awoken to reshape the world. The world of Salt hangs on the brink of collapse. The citizens, once free spirits, now stand oppressed and isolated. But not all is lost, for out of this aether of fear arises a heroine, a ray of hope. Her name is Dandara.",70,7.5
48,Darkest Dungeon,19-Jan-16,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",84,7.8
49,Darksiders II: Deathinitive Edition,5-Nov-15,"What starts with War, ends in Death. Awakened by the End of Days, Death, the most feared of the legendary Four Horsemen, embarks upon a quest to restore mankind, and redeem his brother's name. Along the way, the Horseman discovers that there are far worse things than an earthly Apocalypse, and that an ancient grudge may threaten all of Creation.",No Score,7.2
50,Darksiders: Warmastered Edition,29-Nov-16,"Deceived by the forces of evil into prematurely bringing about the end of the world, War  the first Horseman of the Apocalypse  stands accused of breaking the sacred law by inciting a war between Heaven and Hell. In the slaughter that ensued, the demonic forces defeated the heavenly hosts and laid claim to the Earth.",No Score,7.3
51,DARQ,15-Aug-19,"Great Game, simple and fun. Just the kind of game you can pop out of your laptop while on the train. Props for Devs for being honorable and not succumbing to greed. Wish you the best of luck for your future endeavours.",70,7.8
52,Dauntless,21-May-19,"Best MH Ever, I find that this game is much easier to take in hand than Monster Hunter, much more dynamism, the graphics are really juiceTry before judging, you will not be disappointed",78,5.3
53,Defense Grid: The Awakening,8-Dec-08,"Defense Grid: The Awakening is a strategy game where players place defense fortifications (towers) to stop invading aliens from stealing power cores from their bases.  It is up to the player to select the towers, placement, and timing to best protect the base.  This mix of strategy and puzzle gameplay promises to be very fun and engaging. [Hidden Path Entertainment]",81,8.6
54,Enter the Gungeon,5-Apr-16,"As a game developer for 24 years, there are few games I've enjoyed or put more time into than Enter the Gungeon. It is as if NetHack and Robotron had a beautiful baby. Yes, level 1 can be a slog without a good weapon for a reward, yet the replayability, rock-solid dual-stick gameplay, and crazy amount of variety make me come back over and over again. A brilliant game that I'll return to for years to come.",84,7.9
55,Europa Universalis IV,13-Aug-13,"WOW! For about ten years Paradox Development have been a small team of nice guys working hard to give us good games and mostly failing. Their games have been for the most part tedious, pretentious and ugly, with cluttered mechanisms, and hideous micromanagement. Most of the Paradox efforts suffered from terrible tutorials and ridiculous learning curved that discouraged any vaguely casual gamers. But beyond inaccessibility, the games were finally not that good, because even when you figured out the mechanisms they were still too MECHANICAL: not even really worth learning in the end because they were all variations of a sausage machine. However something miraculous happened with Crusaders Kings 2, and echoes of the good things we saw in earlier games (Hearts of Iron 2) reappeared: Better looking graphics. Simpler, yet DEEPER gameplay.  The machine kept churning away but Paradox learned to save us from the worst of it, and the gameplay began to blossom. Europa Universalis IV seems to demonstrate that Paradox has really turned the corner. The game is beautiful.  Gameplay is fluid. The depth and complication is welcome, but it has been softened with a more thoughtful and gaming friendly structure! GREAT WORK PARADOX! Good things take time, and your grand ambitions are finally bearing fruit. I'm very excited about where this will lead with the Hearts of Iron series, because all the design wisdom that we can see in CK2 and EU4 is leading in the absolute correct direction. If you love strategy gaming please go and buy this game and support this developer! This is a FAR, FAR superior game to Civilizations 1-5 as well as anything put out by Creative Assembly. It's been a long wait but worth it. Can't wait to see what we get when the final few pieces of the game design puzzle fall into place. If they get the budget to build something with a more solid multiplayer experience we will see the PERFECT game.",87,8.7
56,EVERYTHING,21-Apr-17,micro to macro its everying . its more like calestia advance simulator. the animation of animals lack but flying and macro micro things well done. its abour more than game or space objets. its about beings and thoughts even. it can be amazing if this and no man sky marry. this game need to review for angry video nerd.  one of best things after playing seaman game really.  but in the end not a video game like no man sky did.  there are some bugs when try to become everything. ı dont know game talking or being about god probably not bcosue of science game. in then preapare to shock but dont get self too much besides science knowledge is limited too.,78,5.5
57,Fez,1-May-13,A fantastic game that has an impressive amount of depth for its few mechanics. The game does a great job of building its world and teaching you everything you need to know through subtlety.,91,6.7
58,Figment,22-Sep-17,"Figment is truely an original game. The story is told with great metaphors and the accompanying music fits well. The puzzles aren't too hard and the combat is a bit simplistic, still I give this game a 9 for being so original.",77,7.1
59,For Honor,13-Feb-17,"For Honor is a competitive third-person melee title which mixes speed, strategy and team play with close range combat. The Chosen has survived a thousand years of wandering the southern deserts. Their journey should have wiped them out hundreds of years ago, but they survived thanks to the skill set and focus of their heroes. These individuals hoe to lead their followers to an improbable victory and to establish a new homeland. Striking fear in their enemies, The Warborn warriors sail across the Boiling Sea to raid the southern coast. Known for their fire and passion, they will seek to drive their enemies out of their ancestral lands. On the shoulders of great heroes, The Legions have driven out invaders, conquered any who wouldn't join them, and established hundreds of others to defend what is theirs. Facing invasion on two fronts, these heroes fight to protect their lands form the heathens who would take it. [Ubisoft]",76,5.2
60,For the King,19-Apr-18,"A very solid rogue-like RPG-lite packed full of procedurally generated content. It looks great, and the developers are still adding new content and features. The game also has several game modes, from campaigns to extended dungeon dives and lets you unlock new game content (loot, encounters, classes and cosmetics) as you play through by finding Lore books.",79,7.1
61,Frostpunk,24-Apr-18,"One of those games where you start playing at 8pm in the evening and suddenly realise it's 6 in the morning and it's time to go to work. Frostpunk is simply epic. Anxiety-inducing apocalyptic survival strategy epic. You're the last bulwark of civilisation, a flickering light of hope in a raging fimbul winter. Everything in the game emphasises this, from the ethical dilemmas, to small details such as frost forming around the edges of the screen as your city descends into chaos - and of course: the exceptional soundtrack. 11BIT has created an emotional masterpiece here that stands proud next to giants such as TLoU and the Witcher series.",84,8.4
